player_id,season_name,competition_id,competition_name,team_id,team_name,nb_in_group,nb_on_pitch,goals,assists,own_goals,subed_in,subed_out,yellow_cards,second_yellow_cards,direct_red_cards,penalty_goals,minutes_played,goals_conceded,clean_sheets,main_position,value
1005649,23/24,GB1,Premier League,703,Nottingham Forest,32,32,0.0,2,1,0,4,5,0,0,0,,0,0,Defender,3500000.0
1006411,24/25,FR1,Ligue 1,415,FC Toulouse,24,18,0.0,0,0,6,4,2,0,0,0,,0,0,Defender,50000.0
1006411,24/25,FR1,Ligue 1,415,FC Toulouse,24,18,0.0,0,0,6,4,2,0,0,0,,0,0,Defender,2500000.0
1006411,24/25,FR1,Ligue 1,415,FC Toulouse,24,18,0.0,0,0,6,4,2,0,0,0,,0,0,Defender,4000000.0
1009490,24/25,A1,Bundesliga,4467,TSV Hartberg,24,21,1.0,0,0,2,3,6,0,0,0,1712.0,0,0,Defender,400000.0
1009490,24/25,A1,Bundesliga,4467,TSV Hartberg,24,21,1.0,0,0,2,3,6,0,0,0,1712.0,0,0,Defender,600000.0
1009490,24/25,A1,Bundesliga,4467,TSV Hartberg,24,21,1.0,0,0,2,3,6,0,0,0,1712.0,0,0,Defender,500000.0
1009596,23/24,FR1,Ligue 1,995,FC Nantes,1,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,400000.0
1009596,23/24,FR1,Ligue 1,995,FC Nantes,1,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,400000.0
1009596,22/23,FR1,Ligue 1,995,FC Nantes,9,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,100000.0
1009596,22/23,FR1,Ligue 1,995,FC Nantes,9,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,100000.0
1009596,22/23,FR1,Ligue 1,995,FC Nantes,9,0,0.0,0,0,0,0,0,0,0,0,,0,0,Defender,100000.0
1009658,24/25,GB1,Premier League,989,AFC Bournemouth,13,3,0.0,0,0,3,0,0,0,0,0,,0,0,Defender,6000000.0
1009658,24/25,GB1,Premier League,989,AFC Bournemouth,13,3,0.0,0,0,3,0,0,0,0,0,,0,0,Defender,8000000.0
1009658,24/25,GB1,Premier League,989,AFC Bournemouth,13,3,0.0,0,0,3,0,0,0,0,0,,0,0,Defender,8000000.0
100986,24/25,FR1,Ligue 1,1082,LOSC Lille,31,30,2.0,0,0,9,5,5,0,0,0,963.0,0,0,Defender,2000000.0
100986,24/25,FR1,Ligue 1,1082,LOSC Lille,31,30,2.0,0,0,9,5,5,0,0,0,963.0,0,0,Defender,2000000.0
100986,23/24,L1,Bundesliga,16,Borussia Dortmund,10,8,0.0,0,0,1,3,0,0,0,0,,0,0,Defender,2500000.0
100986,23/24,L1,Bundesliga,16,Borussia Dortmund,10,8,0.0,0,0,1,3,0,0,0,0,,0,0,Defender,2500000.0
100986,23/24,L1,Bundesliga,16,Borussia Dortmund,10,8,0.0,0,0,1,3,0,0,0,0,,0,0,Defender,3000000.0
100986,23/24,L1,Bundesliga,16,Borussia Dortmund,10,8,0.0,0,0,1,3,0,0,0,0,,0,0,Defender,2500000.0
