player_id,season_name,competition_id,competition_name,team_id,team_name,nb_in_group,nb_on_pitch,goals,assists,own_goals,subed_in,subed_out,yellow_cards,second_yellow_cards,direct_red_cards,penalty_goals,minutes_played,goals_conceded,clean_sheets,main_position
241527,23/24,IT1,Serie A,276,Hellas Verona,38,24,3.0,1,0,14,10,2,0,0,0,338.0,0,0,Attack
241527,22/23,IT1,Serie A,380,US Salernitana 1919,38,24,2.0,2,0,12,9,1,0,0,0,558.0,0,0,Attack
241527,21/22,IT1,Serie A,380,US Salernitana 1919,33,32,10.0,0,0,13,12,6,0,0,2,187.0,0,0,Attack
241803,23/24,A1,Bundesliga,413,LASK,6,5,1.0,0,0,5,0,0,0,0,0,113.0,0,0,Attack
241803,22/23,A1,Bundesliga,3551,SCR Altach,12,12,0.0,1,0,1,7,1,0,0,0,,0,0,Attack
241803,22/23,A1,Bundesliga,413,LASK,6,5,0.0,0,0,5,0,0,0,0,0,,0,0,Attack
241803,21/22,A1,Bundesliga,413,LASK,28,27,3.0,2,0,10,16,1,0,0,0,444.0,0,0,Attack
242086,25/26,L1,Bundesliga,15,Bayer 04 Leverkusen,2,2,2.0,0,0,0,0,0,0,0,1,90.0,0,0,Attack
242086,24/25,L1,Bundesliga,15,Bayer 04 Leverkusen,33,31,21.0,1,0,12,11,4,0,0,1,80.0,0,0,Attack
242086,23/24,L1,Bundesliga,15,Bayer 04 Leverkusen,24,20,7.0,2,0,8,9,1,0,0,1,152.0,0,0,Attack
242086,22/23,L1,Bundesliga,15,Bayer 04 Leverkusen,14,14,3.0,1,0,4,4,0,0,0,0,314.0,0,0,Attack
242086,21/22,L1,Bundesliga,15,Bayer 04 Leverkusen,27,27,24.0,5,0,1,21,0,0,0,1,87.0,0,0,Attack
242063,25/26,L1,Bundesliga,82,VfL Wolfsburg,2,2,0.0,0,0,2,0,0,0,0,0,,0,0,Attack
242063,23/24,L1,Bundesliga,82,VfL Wolfsburg,30,22,4.0,0,0,10,12,2,0,0,0,231.0,0,0,Attack
242532,21/22,ES1,LaLiga,331,CA Osasuna,14,4,0.0,0,0,3,1,0,0,0,0,,0,0,Attack
242631,25/26,GB1,Premier League,931,Fulham FC,3,3,0.0,1,0,0,2,1,0,0,0,,0,0,Attack
242631,24/25,GB1,Premier League,931,Fulham FC,38,38,9.0,6,0,3,21,1,0,0,0,333.0,0,0,Attack
242631,23/24,GB1,Premier League,931,Fulham FC,30,30,5.0,2,0,5,16,2,0,0,0,441.0,0,0,Attack
242631,23/24,GB1,Premier League,29,Everton FC,2,2,0.0,0,0,0,1,0,0,0,0,,0,0,Attack
242631,22/23,GB1,Premier League,29,Everton FC,38,38,2.0,8,0,0,4,2,0,0,0,1691.0,0,0,Attack
242631,21/22,GB1,Premier League,29,Everton FC,35,28,2.0,2,0,6,7,1,0,0,0,1018.0,0,0,Attack
242638,22/23,A1,Bundesliga,413,LASK,16,14,1.0,1,0,12,2,1,0,0,0,341.0,0,0,Attack
243225,21/22,IT1,Serie A,3522,Spezia Calcio,2,2,0.0,0,0,2,0,0,0,0,0,,0,0,Attack
243606,21/22,FR1,Ligue 1,1421,Stade Reims,19,13,0.0,0,0,10,2,0,0,1,0,,0,0,Attack
243714,24/25,L1,Bundesliga,27,Bayern Munich,28,28,5.0,4,0,14,13,0,0,0,0,256.0,0,0,Attack
243714,23/24,L1,Bundesliga,27,Bayern Munich,18,17,3.0,3,0,2,13,1,0,0,0,374.0,0,0,Attack
243714,22/23,L1,Bundesliga,27,Bayern Munich,27,24,8.0,6,0,8,14,0,1,0,0,177.0,0,0,Attack
243714,21/22,L1,Bundesliga,27,Bayern Munich,21,21,6.0,3,0,5,12,1,0,1,0,228.0,0,0,Attack
243856,21/22,L1,Bundesliga,65,SpVgg Greuther Fürth,15,12,2.0,0,0,5,4,1,0,0,0,317.0,0,0,Attack
245078,23/24,ES1,LaLiga,237,RCD Mallorca,15,11,0.0,0,0,7,4,0,0,0,0,,0,0,Attack
245078,23/24,IT1,Serie A,416,Torino FC,16,10,3.0,0,0,6,4,1,0,0,0,124.0,0,0,Attack
245078,22/23,IT1,Serie A,416,Torino FC,30,28,2.0,2,0,12,13,1,0,0,0,732.0,0,0,Attack
245078,21/22,FR1,Ligue 1,244,Olympique Marseille,2,1,0.0,0,0,1,0,0,0,0,0,,0,0,Attack
245744,25/26,ES1,LaLiga,237,RCD Mallorca,3,3,0.0,0,0,1,2,1,0,0,0,,0,0,Attack
245744,24/25,ES1,LaLiga,237,RCD Mallorca,23,21,2.0,1,0,8,13,0,0,0,0,530.0,0,0,Attack
245744,23/24,L1,Bundesliga,80,VfL Bochum,29,29,6.0,1,0,3,21,2,0,0,0,334.0,0,0,Attack
245744,22/23,L1,Bundesliga,80,VfL Bochum,25,25,3.0,2,0,4,17,1,0,0,0,576.0,0,0,Attack
245744,21/22,L1,Bundesliga,80,VfL Bochum,28,27,3.0,4,0,7,17,1,0,0,0,539.0,0,0,Attack
246044,23/24,A1,Bundesliga,28760,SK Austria Klagenfurt,25,25,1.0,3,0,9,13,2,0,0,0,1453.0,0,0,Attack
246044,22/23,A1,Bundesliga,28760,SK Austria Klagenfurt,20,20,3.0,1,0,20,0,0,0,0,0,153.0,0,0,Attack
246204,24/25,ES1,LaLiga,714,RCD Espanyol Barcelona,11,0,0.0,0,0,0,0,0,0,0,0,,0,0,Attack
246204,23/24,ES1,LaLiga,367,Rayo Vallecano,1,1,0.0,0,0,1,0,0,0,0,0,,0,0,Attack
246204,22/23,ES1,LaLiga,367,Rayo Vallecano,34,24,0.0,0,0,20,4,2,0,0,0,,0,0,Attack
246204,21/22,ES1,LaLiga,2687,Cádiz CF,32,23,2.0,1,0,6,11,1,1,0,0,700.0,0,0,Attack
246963,23/24,GB1,Premier League,1031,Luton Town,38,38,11.0,5,0,6,10,4,0,0,5,261.0,0,0,Attack
246968,24/25,ES1,LaLiga,1050,Villarreal CF,30,30,19.0,2,0,8,13,4,0,0,0,104.0,0,0,Attack
246968,23/24,ES1,LaLiga,150,Real Betis Balompié,32,31,9.0,1,0,2,17,4,0,0,0,256.0,0,0,Attack
246968,22/23,ES1,LaLiga,150,Real Betis Balompié,19,19,3.0,2,0,2,12,3,0,0,0,465.0,0,0,Attack
246968,22/23,GB1,Premier League,1003,Leicester City,18,8,0.0,1,0,5,2,0,0,0,0,,0,0,Attack
246968,21/22,GB1,Premier League,1003,Leicester City,32,14,2.0,3,0,8,5,0,0,1,0,221.0,0,0,Attack
247652,23/24,IT1,Serie A,380,US Salernitana 1919,15,11,1.0,0,0,6,5,0,0,0,0,493.0,0,0,Attack
247652,23/24,ES1,LaLiga,16795,Granada CF,11,5,0.0,0,0,5,0,0,0,0,0,,0,0,Attack
247652,22/23,ES1,LaLiga,366,Real Valladolid CF,16,15,1.0,0,0,9,5,0,0,0,0,740.0,0,0,Attack
248999,25/26,L1,Bundesliga,60,SC Freiburg,2,2,0.0,0,0,0,1,0,0,0,0,,0,0,Attack
248999,24/25,L1,Bundesliga,60,SC Freiburg,33,31,6.0,3,0,10,13,3,0,0,0,312.0,0,0,Attack
248999,23/24,L1,Bundesliga,60,SC Freiburg,33,33,7.0,3,0,7,16,7,0,0,1,330.0,0,0,Attack
248999,22/23,L1,Bundesliga,60,SC Freiburg,26,26,5.0,2,0,10,12,1,0,0,0,301.0,0,0,Attack
248999,21/22,L1,Bundesliga,60,SC Freiburg,34,34,7.0,4,0,4,17,2,0,0,0,371.0,0,0,Attack
249873,21/22,GB1,Premier League,1148,Brentford FC,8,1,0.0,0,0,1,0,0,0,0,0,,0,0,Attack
250426,24/25,GB1,Premier League,180,Southampton FC,24,20,2.0,2,0,5,11,4,0,0,0,627.0,0,0,Attack
250426,22/23,GB1,Premier League,180,Southampton FC,34,30,2.0,1,0,16,14,2,0,0,0,667.0,0,0,Attack
250426,21/22,GB1,Premier League,180,Southampton FC,37,23,2.0,3,0,6,7,1,0,0,0,708.0,0,0,Attack
251106,24/25,GB1,Premier League,989,AFC Bournemouth,17,17,2.0,1,0,15,2,2,0,0,0,166.0,0,0,Attack
251106,23/24,GB1,Premier League,989,AFC Bournemouth,16,16,2.0,3,0,14,2,1,0,0,0,160.0,0,0,Attack
251106,23/24,ES1,LaLiga,3709,Getafe CF,4,3,0.0,1,0,2,0,0,0,0,0,,0,0,Attack
251106,22/23,ES1,LaLiga,3709,Getafe CF,35,35,14.0,3,0,0,16,6,0,0,5,213.0,0,0,Attack
251106,21/22,ES1,LaLiga,3709,Getafe CF,37,37,16.0,1,0,4,19,8,0,0,2,176.0,0,0,Attack
251303,25/26,A1,Bundesliga,14,Austria Vienna,5,5,0.0,0,0,1,3,0,0,0,0,,0,0,Attack
251303,24/25,L1,Bundesliga,35,FC St. Pauli,32,27,3.0,4,0,5,19,3,0,0,1,622.0,0,0,Attack
251664,23/24,GB1,Premier League,1148,Brentford FC,18,17,4.0,2,0,1,0,5,0,0,0,362.0,0,0,Attack
251664,22/23,GB1,Premier League,1148,Brentford FC,33,33,20.0,4,0,0,4,9,0,0,6,148.0,0,0,Attack
251664,21/22,GB1,Premier League,1148,Brentford FC,33,33,12.0,5,0,1,0,8,0,0,5,242.0,0,0,Attack
251845,24/25,ES1,LaLiga,1049,Valencia CF,34,17,0.0,1,0,15,2,3,0,0,0,,0,0,Attack
251845,23/24,ES1,LaLiga,1049,Valencia CF,28,27,1.0,2,0,12,15,1,0,0,0,1235.0,0,0,Attack
251845,22/23,GB1,Premier League,1148,Brentford FC,12,5,0.0,0,0,5,0,0,0,0,0,,0,0,Attack
251845,21/22,GB1,Premier League,1148,Brentford FC,33,31,3.0,2,1,6,16,6,1,0,0,698.0,0,0,Attack
251897,24/25,ES1,LaLiga,1108,Deportivo Alavés,38,16,1.0,1,0,14,2,2,0,0,1,324.0,0,0,Attack
251897,23/24,ES1,LaLiga,621,Athletic Bilbao,38,18,2.0,1,0,14,4,0,0,0,0,252.0,0,0,Attack
251897,22/23,ES1,LaLiga,621,Athletic Bilbao,18,5,0.0,0,0,4,1,0,0,0,0,,0,0,Attack
251897,21/22,ES1,LaLiga,621,Athletic Bilbao,22,19,2.0,0,0,16,4,0,0,0,0,270.0,0,0,Attack
252345,21/22,GB1,Premier League,1010,Watford FC,31,18,0.0,0,0,11,3,1,0,0,0,,0,0,Attack
252677,25/26,ES1,LaLiga,3368,Levante UD,3,3,1.0,0,0,2,1,1,0,0,1,123.0,0,0,Attack
252677,23/24,ES1,LaLiga,1050,Villarreal CF,38,29,7.0,0,0,21,8,0,0,0,0,148.0,0,0,Attack
252677,22/23,ES1,LaLiga,1050,Villarreal CF,30,29,7.0,0,0,18,7,2,0,0,0,172.0,0,0,Attack
252677,21/22,ES1,LaLiga,3368,Levante UD,35,35,13.0,7,0,4,11,7,0,0,3,210.0,0,0,Attack
252755,22/23,SIN1,Premier League,4131,Lion City Sailors,7,7,6.0,1,1,1,1,0,0,0,1,88.0,0,0,Attack
254284,25/26,A1,Bundesliga,4441,Wolfsberger AC,5,4,0.0,0,0,2,1,0,0,0,0,,0,0,Attack
254284,24/25,A1,Bundesliga,4441,Wolfsberger AC,15,15,4.0,1,0,9,4,2,0,0,1,179.0,0,0,Attack
25488,23/24,IT1,Serie A,380,US Salernitana 1919,34,34,6.0,6,0,2,10,5,0,0,1,460.0,0,0,Attack
25488,22/23,IT1,Serie A,380,US Salernitana 1919,35,35,7.0,5,0,3,14,1,1,0,0,391.0,0,0,Attack
25488,21/22,IT1,Serie A,1038,UC Sampdoria,36,36,7.0,12,0,0,11,6,0,1,1,447.0,0,0,Attack
255334,21/22,MAL1,Premier League,17149,Hamrun Spartans,19,19,4.0,6,0,2,1,3,0,1,2,380.0,0,0,Attack
255508,25/26,ES1,LaLiga,621,Athletic Bilbao,3,3,0.0,0,0,0,2,0,0,0,0,,0,0,Attack
255508,24/25,ES1,LaLiga,621,Athletic Bilbao,35,35,6.0,8,0,6,8,1,0,0,0,442.0,0,0,Attack
255508,23/24,ES1,LaLiga,621,Athletic Bilbao,34,34,12.0,3,1,2,13,4,0,0,0,238.0,0,0,Attack
255508,22/23,ES1,LaLiga,621,Athletic Bilbao,36,36,10.0,3,0,2,19,2,0,0,1,285.0,0,0,Attack
255508,21/22,ES1,LaLiga,621,Athletic Bilbao,38,38,8.0,6,0,6,14,4,0,0,1,348.0,0,0,Attack
255729,22/23,ES1,LaLiga,2687,Cádiz CF,13,5,0.0,0,0,4,1,0,0,0,0,,0,0,Attack
255653,21/22,ES1,LaLiga,940,Celta de Vigo,33,33,7.0,3,0,3,16,4,0,0,0,340.0,0,0,Attack
256167,25/26,A1,Bundesliga,2157,FC Blau-Weiss Linz,4,4,0.0,0,0,0,4,1,0,0,0,,0,0,Attack
256167,24/25,A1,Bundesliga,2157,FC Blau-Weiss Linz,31,31,14.0,2,1,2,20,6,0,0,1,172.0,0,0,Attack
256167,23/24,A1,Bundesliga,2157,FC Blau-Weiss Linz,29,29,10.0,4,0,2,20,4,0,0,3,212.0,0,0,Attack
256267,25/26,ES1,LaLiga,237,RCD Mallorca,2,2,1.0,0,0,0,0,0,0,1,0,129.0,0,0,Attack
256267,24/25,ES1,LaLiga,237,RCD Mallorca,29,29,7.0,2,1,5,12,1,0,2,2,295.0,0,0,Attack
256267,23/24,ES1,LaLiga,237,RCD Mallorca,29,29,7.0,2,0,4,6,4,0,0,1,333.0,0,0,Attack
256267,22/23,ES1,LaLiga,237,RCD Mallorca,35,35,15.0,3,0,1,17,6,0,1,4,197.0,0,0,Attack
256267,21/22,ES1,LaLiga,237,RCD Mallorca,16,16,5.0,3,0,0,1,6,0,0,2,288.0,0,0,Attack
256267,21/22,IT1,Serie A,398,SS Lazio,23,11,0.0,1,0,10,1,1,0,0,0,,0,0,Attack
256361,22/23,IT1,Serie A,3522,Spezia Calcio,32,25,3.0,0,0,14,11,1,0,0,1,332.0,0,0,Attack
256361,21/22,IT1,Serie A,3522,Spezia Calcio,35,33,8.0,6,0,12,14,2,0,0,1,245.0,0,0,Attack
256429,24/25,ES1,LaLiga,367,Rayo Vallecano,34,16,0.0,0,0,15,1,1,0,0,0,,0,0,Attack
256429,23/24,ES1,LaLiga,2687,Cádiz CF,33,22,1.0,1,0,21,1,1,0,0,0,465.0,0,0,Attack
256429,22/23,ES1,LaLiga,2687,Cádiz CF,18,17,3.0,0,0,3,12,2,0,0,0,392.0,0,0,Attack
256429,22/23,ES1,LaLiga,366,Real Valladolid CF,16,14,0.0,0,0,6,8,1,0,0,0,,0,0,Attack
256429,21/22,ES1,LaLiga,367,Rayo Vallecano,35,32,8.0,2,0,12,17,3,0,0,1,214.0,0,0,Attack
